protein, counting from 37 of being in a group of size from 2 to 2 with acc higher or equal to 0.833333333333
A0A087WV47_IGHG1,0
A0A087WZM2_RNASET2,0
B4E1Z4_CFB,0
B7Z6Z4_MYL6,1
CON__P02768_1_ALB,0
D6RF35_GC,1
P04406_GAPDH,0
P0C0L5_C4B,3
Q14697_2_GANAB,3
Q9NZL9_MAT2B,0
P00330_ADH1,1
P00450_CP,0
P00489_GPB,2
P00738_HP,1
P00924_ENO1,3
P01008_SERPINC1,0
P01023_A2M,10
P01024_C3,0
P01036_CST4,1
P01037_CST1,1
P01859_IGHG2,0
P02675_FGB,0
P02750_LRG1,0
P02763_ORM1,0
P02787_TF,0
P02790_HPX,1
P05386_RPLP1,0
P07339_CTSD,0
P09228_CST2,0
P14174_MIF,2
P23280_CA6,0
P52209_PGD,1
P61586_RHOA,3
P62937_PPIA,1
Q08188_TGM3,1
Q99879_HIST1H2BM,0
Q9NQ38_3_SPINK5,0
